Carrier,Tons,Commodity,Customers,Date
LLT,22000,COAL,Essar,5/14/2017
ALGOMA,28000,COAL,Arcelor Mittal (Dofasco),5/14/2017
CSL,25864,SALT,Windsor Salt,5/15/2017
ALGOMA,28500,ORE,Arcelor Mittal (Sidbec),5/15/2017
LLT,18000,STONE,CRH,5/15/2017
CSL,36294,ILMENITE ORE,QIT,5/15/2017
ALGOMA,18000,SALT,Sifto,5/15/2017
ALGOMA,27200,SALT,Sifto,5/15/2017
ALGOMA,27500,STONE,LafargeHolcim,5/16/2017
ALGOMA,28100,GRAIN,Cargill,5/16/2017
CSL,29414,STONE,LafargeHolcim,5/16/2017
CSL,10503,SLAG,CRISTAL,5/16/2017
ALGOMA,27900,STONE,South West Sales,5/16/2017
LLT,18000,STONE,CRH,5/16/2017
ALGOMA,27500,ORE,Arcelor Mittal (Dofasco),5/17/2017
LLT,22000,SALT,Cargill,5/17/2017
CSL,32563,ORE,Stelco,5/17/2017
LLT,24000,GRAIN,ADM Agri,5/17/2017
ALGOMA,28500,GRAIN,Cargill,5/17/2017
LLT,26000,ORE,Algoma Steel,5/17/2017
LLT,25200,GRAIN,Richardson,5/17/2017
CSL,31012,ORE,USS,5/18/2017
LLT,22000,COAL,Essar,5/18/2017
CSL,29450,STONE,OTR,5/18/2017
ALGOMA,27200,SALT,Sifto,5/18/2017
ALGOMA,28300,GRAIN,Richardson,5/18/2017
ALGOMA,18000,MEB,Unknown Customer,5/18/2017
ALGOMA,29704,ORE,Arcelor Mittal (Dofasco),5/18/2017
CSL,30887,GRAIN,Viterra,5/18/2017
ALGOMA,29500,GYPSUM,US Gypsum,5/19/2017
ALGOMA,29650,ORE,Cliffs Inc.,5/19/2017
ALGOMA,27500,SALT,Sifto,5/19/2017
ALGOMA,27500,COAL,Teck,5/19/2017
LLT,22000,SALT,Windsor Salt,5/19/2017
ALGOMA,28800,SLAG,CRH,5/19/2017
LLT,26000,ORE,Algoma Steel,5/19/2017
LLT,18000,STONE,CRH,5/19/2017
ALGOMA,27500,ORE,Arcelor Mittal (Dofasco),5/19/2017
CSL,24088,STONE,SWS,5/20/2017
ALGOMA,28000,STONE,Ontario Trap Rock,5/20/2017
LLT,22000,COAL,Unknown,5/20/2017
CSL,26966,GRAIN,Viterra,5/20/2017
CSL,30449,STONE,LafargeHolcim,5/20/2017
ALGOMA,27000,SALT,Sifto,5/21/2017
LLT,26000,ORE,Algoma Steel,5/21/2017
ALGOMA,28500,ORE,Arcelor Mittal (Sidbec),5/21/2017
ALGOMA,27900,SALT,Sifto,5/21/2017
LLT,18000,STONE,CRH,5/21/2017
CSL,25630,SALT,Windsor Salt,5/21/2017
ALGOMA,18000,STONE,South West Sales,5/22/2017
CSL,36160,ILMENITE ORE,QIT,5/22/2017
ALGOMA,27200,SAND,Lakeshore Sand,5/22/2017
CSL,29024,SALT,Windsor Salt,5/22/2017
LLT,22000,POTASH,Mosaic,5/22/2017
ALGOMA,27500,STONE,Ontario Trap Rock,5/22/2017
LLT,22000,STONE,South West Sales,5/22/2017
ALGOMA,27900,ORE,Arcelor Mittal (USA),5/23/2017
LLT,22000,SALT,Sifto,5/23/2017
LLT,18000,SALT,Cargill,5/23/2017
CSL,21717,SALT,Windsor Salt,5/23/2017
CSL,28423,COAL,Stelco,5/23/2017
LLT,26000,ORE,Algoma Steel,5/24/2017
ALGOMA,29704,ORE,Arcelor Mittal (Dofasco),5/24/2017
ALGOMA,27900,SALT,Sifto,5/24/2017
ALGOMA,28000,STONE,Ontario Trap Rock,5/24/2017
CSL,30488,GRAIN,Richardson,5/24/2017
CSL,29452,STONE,LafargeHolcim,5/25/2017
ALGOMA,27500,SALT,Sifto,5/25/2017
ALGOMA,28500,STONE,Arcelor Mittal (QCM),5/25/2017
ALGOMA,18000,SALT,Sifto,5/25/2017
CSL,27472,COAL,Stelco,5/25/2017
CSL,37030,ILMENITE ORE,QIT,5/25/2017
CSL,28562,GRAIN,Viterra,5/25/2017
CSL,26266,GRAIN,Cargill,5/25/2017
CSL,30485,SALT,Windsor Salt,5/25/2017
CSL,35547,STONE,Great Eastern,5/25/2017
ALGOMA,28500,ORE,Arcelor Mittal (Dofasco),5/25/2017
ALGOMA,27500,SLAG,Essar,5/26/2017
ALGOMA,29500,COAL,Koch Carbon,5/26/2017
CSL,33781,ORE,Stelco,5/26/2017
ALGOMA,27200,Clinker,St Mary's Cement,5/26/2017
ALGOMA,27500,GRAIN,Richardson,5/26/2017
LLT,18000,STONE,CRH,5/26/2017
LLT,24000,STONE,South West Sales,5/26/2017
LLT,22000,GRAIN,Viterra,5/26/2017
ALGOMA,28800,COAL,Arcelor Mittal (Dofasco),5/27/2017
CSL,38603,ILMENITE ORE,QIT,5/27/2017
ALGOMA,28000,SALT,Sifto,5/27/2017
CSL,25142,ORE,USS,5/27/2017
CSL,18826,GRAIN,ADM Milling,5/27/2017
CSL,26531,SALT,Windsor Salt,5/27/2017
ALGOMA,27500,GRAIN,CWB,5/28/2017
LLT,18000,STONE,CRH,5/28/2017
ALGOMA,27000,ORE,Arcelor Mittal (Dofasco),5/28/2017
ALGOMA,28100,ORE,Arcelor Mittal (Dofasco),5/28/2017
CSL,30589,SALT,Windsor Salt,5/28/2017
LLT,26000,ORE,Algoma Steel,5/28/2017
CSL,30705,GRAIN,ADM AGRI,5/29/2017
ALGOMA,27500,STONE,Ontario Trap Rock,5/29/2017
ALGOMA,18000,STONE,LafargeHolcim,5/29/2017
LLT,22000,SLAG,Essroc,5/29/2017
CSL,35462,STONE,RTSA,5/29/2017
LLT,18000,STONE,CRH,5/29/2017
ALGOMA,27900,COAL,Arcelor Mittal (Dofasco),5/29/2017
LLT,22000,GRAIN,Ceres Global,5/30/2017
ALGOMA,28300,ORE,Arcelor Mittal (Dofasco),5/30/2017
ALGOMA,29650,ORE,Arcelor Mittal (Dofasco),5/30/2017
ALGOMA,28000,COAL,Arcelor Mittal (Dofasco),5/30/2017
ALGOMA,27200,SALT,Sifto,5/30/2017
ALGOMA,28500,ORE,Arcelor Mittal (Dofasco),5/30/2017
CSL,26948,GRAIN,Viterra,5/30/2017
ALGOMA,28800,SLAG,CRH,5/31/2017
ALGOMA,28500,STONE,Arcelor Mittal (QCM),5/31/2017
CSL,37419,ILMENITE ORE,QIT,5/31/2017
CSL,31373,ORE,Stelco,5/31/2017
ALGOMA,27900,STONE,LafargeHolcim,5/31/2017
LLT,26000,SLAG,Bay Aggregates,5/31/2017
LLT,18000,STONE,CRH,5/31/2017
ALGOMA,27500,STONE,USS,5/31/2017
CSL,32772,ORE,Stelco,5/31/2017
LLT,22000,SALT,Cargill,5/31/2017
ALGOMA,18000,SALT,Sifto,6/1/2017
CSL,26438,SALT,Windsor Salt,6/1/2017
CSL,31001,ORE,Cliffs Inc.,6/1/2017
ALGOMA,29704,ORE,USS,6/1/2017
CSL,25717,ORE,USS,6/1/2017
LLT,24000,SALT,Windsor Salt,6/1/2017
CSL,33355,ORE,Stelco,6/2/2017
LLT,18000,STONE,CRH,6/2/2017
ALGOMA,28100,ORE,Arcelor Mittal (Dofasco),6/2/2017
CSL,26167,COKE,Koch Carbon,6/2/2017
ALGOMA,27500,STONE,Ontario Trap Rock,6/2/2017
CSL,24714,SALT,Windsor Salt,6/2/2017
ALGOMA,27000,SALT,Sifto,6/2/2017
LLT,25200,GRAIN,Richardson,6/2/2017
CSL,28252,SALT,Windsor Salt,6/3/2017
ALGOMA,28800,SLAG,Arcelor Mittal (USA),6/3/2017
ALGOMA,27900,SLAG,LafargeHolcim,6/3/2017
ALGOMA,27900,STONE,LafargeHolcim,6/3/2017
ALGOMA,28000,SALT,Sifto,6/3/2017
LLT,18000,STONE,CRH,6/3/2017
ALGOMA,27200,STONE,LafargeHolcim,6/3/2017
ALGOMA,27500,COAL,Arcelor Mittal (Dofasco),6/3/2017
LLT,22000,STONE,SWS,6/4/2017
LLT,22000,COAL,Essar,6/4/2017
CSL,25978,STONE,SWS,6/4/2017
ALGOMA,18000,STONE,LafargeHolcim,6/4/2017
ALGOMA,28500,ORE,Arcelor Mittal (Sidbec),6/4/2017
CSL,29251,ORE,USS,6/4/2017
ALGOMA,28300,GRAIN,Richardson,6/5/2017
LLT,18000,STONE,CRH,6/5/2017
CSL,37703,ILMENITE ORE,QIT,6/6/2017
ALGOMA,29650,GRAIN,Cargill,6/6/2017
CSL,23165,GRAIN,Viterra,6/6/2017
ALGOMA,27500,SLAG,CRH,6/6/2017
ALGOMA,27500,STONE,LafargeHolcim,6/6/2017
LLT,26000,ORE,Algoma Steel,6/6/2017
LLT,22000,SALT,Windsor Salt,6/6/2017
LLT,24000,SALT,Windsor Salt,6/6/2017
CSL,32012,ORE,Stelco,6/7/2017
LLT,22000,GRAIN,Richardson,6/7/2017
ALGOMA,27200,SALT,Sifto,6/7/2017
ALGOMA,27500,ORE,Arcelor Mittal (Dofasco),6/7/2017
ALGOMA,27900,ORE,Arcelor Mittal (Dofasco),6/7/2017
ALGOMA,27900,COAL,CRH,6/7/2017
LLT,22000,SALT,Cargill,6/7/2017
ALGOMA,18000,STONE,South West Sales,6/7/2017
CSL,32193,ORE,Stelco,6/7/2017
CSL,29010,ORE,USS,6/7/2017
CSL,26105,ORE,Stelco,6/7/2017
LLT,26000,STONE,LafargeHolcim,6/8/2017
ALGOMA,28500,ORE,Arcelor Mittal (Dofasco),6/8/2017
ALGOMA,29500,STONE,Atlantic Minerals (GEL),6/8/2017
LLT,18000,STONE,CRH,6/8/2017
ALGOMA,27000,SALT,Sifto,6/8/2017
CSL,24384,SALT,Windsor Salt,6/8/2017
CSL,30679,GRAIN,Richardson,6/8/2017
ALGOMA,27500,ORE,Arcelor Mittal (Dofasco),6/9/2017
LLT,26000,ORE,Algoma Steel,6/9/2017
ALGOMA,28800,ORE,USS,6/9/2017
CSL,25338,ORE,USS,6/9/2017
ALGOMA,28500,ORE,Arcelor Mittal (Sidbec),6/9/2017
LLT,22000,GRAIN,Viterra,6/10/2017
LLT,18000,STONE,CRH,6/10/2017
ALGOMA,18000,STONE,South West Sales,6/10/2017
ALGOMA,27500,ORE,Arcelor Mittal (Dofasco),6/10/2017
CSL,30937,GRAIN,Viterra,6/10/2017
CSL,30486,SALT,Windsor Salt,6/10/2017
ALGOMA,27500,SLAG,St Mary's Cement,6/10/2017
LLT,26000,ORE,Algoma Steel,6/10/2017
ALGOMA,28100,ORE,Arcelor Mittal (Dofasco),6/10/2017
ALGOMA,27200,ORE,USS,6/11/2017
LLT,24000,GRAIN,P & H,6/11/2017
ALGOMA,29500,STONE,Atlantic Minerals (GEL),6/11/2017
LLT,18000,STONE,CRH,6/11/2017
CSL,29574,COAL,Stelco,6/11/2017
ALGOMA,27500,ORE,Cliffs Inc.,6/12/2017
CSL,38541,ILMENITE ORE,QIT,6/12/2017
ALGOMA,27900,ORE,Arcelor Mittal (USA),6/12/2017
LLT,26000,ORE,Algoma Steel,6/12/2017
LLT,22000,GRAIN,Kraft,6/12/2017
ALGOMA,29704,ORE,Arcelor Mittal (Dofasco),6/12/2017
ALGOMA,18000,SALT,Sifto,6/12/2017
CSL,29185,ORE,USS,6/12/2017
